S/N,customer ID,Sex,Lga,Sen. Zone,Amount Granted,Principal Balance,Date Granted,Expiry Date,Principal paid,Interest paid,Principal past due,Interest past due,Paid amount,Balance,Total amount to be paid,Percentage
12,loan12,Female,ESAN WEST,EDO CENTRAL,"150,000.00","150,000.00",04/07/2022,03/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","162,500.00","163,500.00",0.61
13,loan13,Female,ETSAKO EAST,EDO NORTH,"100,000.00","69,235.61",17/06/2022,15/06/2023,"30,764.39","8,235.61","65,174.85","5,227.39","39,000.00","70,000.00","109,000.00",35.78
14,loan14,Female,OREDO,EDO SOUTH,"200,000.00","156,561.65",05/04/2022,04/04/2023,"43,438.35","13,561.65","138,024.69","4,536.99","57,000.00","161,000.00","218,000.00",26.15
15,loan15,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",19/12/2022,18/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
16,loan16,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",15/12/2022,14/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
17,loan17,Female,OREDO,EDO SOUTH,"200,000.00","168,024.66",04/04/2022,03/04/2023,"31,975.34","9,024.66","86,545.23","1,479.45","41,000.00","177,000.00","218,000.00",18.81
18,loan18,Male,ETSAKO CENTRAL,EDO NORTH,"500,000.00","476,698.63",06/04/2022,05/04/2023,"23,301.37","3,698.63","41,666.67","3,198.63","27,000.00","518,000.00","545,000.00",4.95
19,loan19,Female,OREDO,EDO SOUTH,"400,000.00","396,958.90",12/09/2022,08/09/2023,"3,041.10","2,958.90",0.00,0.00,"6,000.00","430,000.00","436,000.00",1.38
20,loan20,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",09/09/2022,08/09/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
21,loan21,Female,EGOR,EDO SOUTH,"200,000.00","200,000.00",13/07/2022,12/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
22,loan22,Male,ETSAKO CENTRAL,EDO NORTH,"500,000.00","458,333.33",07/04/2022,06/04/2023,"41,666.67","4,833.33",0.00,0.00,"46,500.00","498,500.00","545,000.00",8.53
23,loan23,Male,ETSAKO WEST,EDO NORTH,"150,000.00","150,000.00",13/07/2022,12/07/2023,0.00,750.00,0.00,0.00,750.00,"162,750.00","163,500.00",0.46
24,loan24,Female,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",07/04/2022,06/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
25,loan25,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","195,487.67",05/04/2022,03/04/2023,"4,512.33","4,487.67","50,000.01","3,487.67","9,000.00","209,000.00","218,000.00",4.13
26,loan26,Female,AKOKO-EDO,EDO NORTH,"500,000.00","500,000.00",15/07/2022,14/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
27,loan27,Female,OVIA SOUTH-WEST,EDO SOUTH,"100,000.00","99,764.38",01/07/2022,30/06/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
28,loan28,Female,ESAN NORTH-EAST,EDO CENTRAL,"150,000.00","150,000.00",06/07/2022,05/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","162,500.00","163,500.00",0.61
29,loan29,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",18/08/2022,17/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
30,loan30,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","90,504.11",24/06/2022,22/06/2023,"9,495.89","1,504.11","16,406.39",764.38,"11,000.00","98,000.00","109,000.00",10.09
31,loan31,Female,IGUEBEN,EDO CENTRAL,"500,000.00","461,020.55",29/06/2022,27/06/2023,"38,979.45","7,520.55","83,333.34","6,520.55","46,500.00","498,500.00","545,000.00",8.53
32,loan32,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","91,004.11",18/08/2022,17/08/2023,"8,995.89","1,504.11","16,431.04",739.73,"10,500.00","98,500.00","109,000.00",9.63
33,loan33,Female,EGOR,EDO SOUTH,"200,000.00","196,553.43",05/04/2022,04/04/2023,"3,446.57","10,553.43","115,691.35","1,528.77","14,000.00","204,000.00","218,000.00",6.42
34,loan34,Male,ETSAKO CENTRAL,EDO NORTH,"300,000.00","279,719.18",06/04/2022,05/04/2023,"20,280.82","2,219.18",0.00,0.00,"22,500.00","304,500.00","327,000.00",6.88
35,loan35,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",04/01/2023,03/01/2024,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
36,loan36,Male,AKOKO-EDO,EDO NORTH,"150,000.00","149,359.59",23/06/2022,22/06/2023,640.41,"1,109.59",0.00,0.00,"1,750.00","161,750.00","163,500.00",1.07
37,loan37,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",09/09/2022,08/09/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
38,loan38,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
39,loan39,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","196,487.67",08/04/2022,06/04/2023,"3,512.33","4,487.67","50,000.01","3,487.67","8,000.00","210,000.00","218,000.00",3.67
40,loan40,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","196,487.67",08/04/2022,06/04/2023,"3,512.33","4,487.67","50,000.01","3,487.67","8,000.00","210,000.00","218,000.00",3.67
41,loan41,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",08/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
42,loan42,Female,OWAN EAST,EDO NORTH,"100,000.00","99,739.73",27/06/2022,26/06/2023,260.27,739.73,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
43,loan43,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","182,008.22",08/04/2022,07/04/2023,"17,991.78","3,008.22","33,333.34","2,008.22","21,000.00","197,000.00","218,000.00",9.63
44,loan44,Male,ESAN WEST,EDO CENTRAL,"300,000.00","300,000.00",20/07/2022,19/07/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","325,500.00","327,000.00",0.46
45,loan45,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","195,008.22",13/04/2022,12/04/2023,"4,991.78","3,008.22","33,333.34","3,008.22","8,000.00","210,000.00","218,000.00",3.67
46,loan46,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",09/09/2022,08/09/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
47,loan47,Male,ESAN CENTRAL,EDO CENTRAL,"200,000.00","181,008.22",07/04/2022,06/04/2023,"18,991.78","3,008.22",0.00,0.00,"22,000.00","196,000.00","218,000.00",10.09
48,loan48,Male,ESAN CENTRAL,EDO CENTRAL,"200,000.00","71,032.88",07/04/2022,06/04/2023,"128,967.12","12,032.88",0.00,0.00,"141,000.00","77,000.00","218,000.00",64.68
49,loan49,Female,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",30/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
50,loan50,Female,ESAN NORTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",05/07/2022,04/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
51,loan51,Male,OREDO,EDO SOUTH,"200,000.00","197,729.45",05/04/2022,04/04/2023,"2,270.55","1,479.45",0.00,0.00,"3,750.00","214,250.00","218,000.00",1.72
52,loan52,Male,ETSAKO CENTRAL,EDO NORTH,"500,000.00","500,000.00",06/04/2022,05/04/2023,0.00,"30,500.00","500,000.00","44,500.01","30,500.00","514,500.00","545,000.00",5.60
53,loan53,Male,ETSAKO WEST,EDO NORTH,"200,000.00","200,000.00",13/07/2022,12/07/2023,0.00,750.00,0.00,0.00,750.00,"217,250.00","218,000.00",0.34
54,loan54,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
55,loan55,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",18/08/2022,17/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
56,loan56,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
57,loan57,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","194,008.22",14/04/2022,13/04/2023,"5,991.78","3,008.22","33,333.34","2,008.22","9,000.00","209,000.00","218,000.00",4.13
58,loan58,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",30/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
59,loan59,Male,AKOKO-EDO,EDO NORTH,"400,000.00","400,000.00",21/06/2022,20/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
60,loan60,Male,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",04/07/2022,03/07/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
61,loan61,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",12/09/2022,08/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
62,loan62,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
63,loan63,Male,OWAN WEST,EDO NORTH,"150,000.00","150,000.00",05/07/2022,04/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","162,500.00","163,500.00",0.61
64,loan64,Female,EGOR,EDO SOUTH,"500,000.00","500,000.00",14/09/2022,11/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
65,loan65,Female,EGOR,EDO SOUTH,"200,000.00","178,024.66",04/04/2022,03/04/2023,"21,975.34","9,024.66","91,545.23","1,479.45","31,000.00","187,000.00","218,000.00",14.22
66,loan66,Female,OREDO,EDO SOUTH,"300,000.00","300,000.00",04/04/2022,03/04/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","325,500.00","327,000.00",0.46
67,loan67,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",09/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
68,loan68,Male,AKOKO-EDO,EDO NORTH,"300,000.00","300,000.00",21/06/2022,20/06/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","325,500.00","327,000.00",0.46
69,loan69,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",18/08/2022,17/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
70,loan70,Male,ETSAKO WEST,EDO NORTH,"150,000.00","150,000.00",13/07/2022,12/07/2023,0.00,750.00,0.00,0.00,750.00,"162,750.00","163,500.00",0.46
71,loan71,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",06/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
72,loan72,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",09/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
73,loan73,Female,EGOR,EDO SOUTH,"300,000.00",0.00,04/04/2022,03/04/2023,"300,000.00","27,000.00","48,706.85","2,293.15","327,000.00",0.00,"327,000.00",100.00
74,loan74,Female,ESAN WEST,EDO CENTRAL,"500,000.00","500,000.00",05/04/2022,04/04/2023,0.00,"2,500.00",0.00,0.00,"2,500.00","542,500.00","545,000.00",0.46
75,loan75,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",05/01/2023,03/01/2024,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
76,loan76,Female,OREDO,EDO SOUTH,"400,000.00","400,000.00",14/09/2022,13/09/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
77,loan77,Female,ETSAKO EAST,EDO NORTH,"200,000.00","182,008.22",17/06/2022,15/06/2023,"17,991.78","3,008.22","16,666.67",479.45,"21,000.00","197,000.00","218,000.00",9.63
78,loan78,Male,ETSAKO CENTRAL,EDO NORTH,"300,000.00","300,000.00",07/04/2022,06/04/2023,0.00,"2,000.00",0.00,0.00,"2,000.00","325,000.00","327,000.00",0.61
79,loan79,Male,ETSAKO WEST,EDO NORTH,"150,000.00","150,000.00",13/07/2022,12/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","162,500.00","163,500.00",0.61
80,loan80,Female,IGUEBEN,EDO CENTRAL,"100,000.00","100,000.00",22/08/2022,21/08/2023,0.00,500.00,0.00,0.00,500.00,"108,500.00","109,000.00",0.46
81,loan81,Female,ETSAKO WEST,EDO NORTH,"150,000.00","138,506.17",29/06/2022,27/06/2023,"11,493.83","2,256.17","24,859.59","1,146.58","13,750.00","149,750.00","163,500.00",8.41
82,loan82,Male,ESAN WEST,EDO CENTRAL,"150,000.00","149,359.59",30/06/2022,28/06/2023,640.41,"1,109.59",0.00,0.00,"1,750.00","161,750.00","163,500.00",1.07
83,loan83,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
84,loan84,Female,ESAN NORTH-EAST,EDO CENTRAL,"300,000.00","300,000.00",06/07/2022,05/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
85,loan85,Male,ESAN WEST,EDO CENTRAL,"400,000.00","400,000.00",05/04/2022,04/04/2023,0.00,"2,000.00",0.00,0.00,"2,000.00","434,000.00","436,000.00",0.46
86,loan86,Female,ESAN CENTRAL,EDO CENTRAL,"200,000.00","200,000.00",01/07/2022,30/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
87,loan87,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",20/04/2022,19/04/2023,0.00,"1,500.05",0.00,0.00,"1,500.05","543,499.95","545,000.00",0.28
88,loan88,Female,EGOR,EDO SOUTH,"400,000.00","396,958.90",12/09/2022,08/09/2023,"3,041.10","2,958.90",0.00,0.00,"6,000.00","430,000.00","436,000.00",1.38
89,loan89,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",08/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
90,loan90,Male,ORHIONMWON,EDO SOUTH,"400,000.00","400,000.00",09/08/2022,08/08/2023,0.00,"31,000.00","400,000.00","34,999.95","31,000.00","405,000.00","436,000.00",7.11
91,loan91,Female,EGOR,EDO SOUTH,"500,000.00","500,000.00",04/01/2023,03/01/2024,0.00,"1,250.00",0.00,0.00,"1,250.00","543,750.00","545,000.00",0.23
92,loan92,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",29/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
93,loan93,Male,ETSAKO CENTRAL,EDO NORTH,"300,000.00","299,481.51",07/04/2022,06/04/2023,518.49,"6,731.51","75,000.00","6,481.51","7,250.00","319,750.00","327,000.00",2.22
94,loan94,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",09/09/2022,08/09/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
95,loan95,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",12/09/2022,08/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
96,loan96,Female,UHUNMWONDE,EDO SOUTH,"150,000.00","14,640.45",25/07/2022,21/07/2023,"135,359.55","12,390.45","37,500.00","3,152.75","147,750.00","15,750.00","163,500.00",90.37
97,loan97,Female,IGUEBEN,EDO CENTRAL,"300,000.00","300,000.00",18/08/2022,17/08/2023,0.00,500.00,0.00,0.00,500.00,"326,500.00","327,000.00",0.15
98,loan98,Female,ESAN NORTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",18/08/2022,17/08/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
99,loan99,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","73,508.22",18/08/2022,17/08/2023,"26,491.78","3,008.22","8,097.71",0.00,"29,500.00","79,500.00","109,000.00",27.06
100,loan100,Male,ESAN CENTRAL,EDO CENTRAL,"100,000.00","100,000.00",14/07/2022,13/07/2023,0.00,500.00,0.00,0.00,500.00,"108,500.00","109,000.00",0.46
101,loan101,Male,ESAN NORTH-EAST,EDO CENTRAL,"500,000.00","500,000.00",09/09/2022,08/09/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
102,loan102,Male,AKOKO-EDO,EDO NORTH,"250,000.00","250,000.00",17/06/2022,15/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","271,500.00","272,500.00",0.37
103,loan103,Female,EGOR,EDO SOUTH,"400,000.00","400,000.00",12/09/2022,08/09/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
104,loan104,Female,IKPOBA OKHA,EDO SOUTH,"300,000.00","300,000.00",04/04/2022,03/04/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","325,500.00","327,000.00",0.46
105,loan105,Female,ETSAKO EAST,EDO NORTH,"300,000.00","300,000.00",17/06/2022,15/06/2023,0.00,"2,000.00","50,000.00","4,512.33","2,000.00","325,000.00","327,000.00",0.61
106,loan106,Male,OVIA SOUTH-WEST,EDO SOUTH,"100,000.00","99,739.73",30/06/2022,29/06/2023,260.27,739.73,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
107,loan107,Male,ETSAKO EAST,EDO NORTH,"200,000.00","200,000.00",17/06/2022,15/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
108,loan108,Male,AKOKO-EDO,EDO NORTH,"200,000.00","200,000.00",05/07/2022,04/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
109,loan109,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",13/12/2022,11/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
110,loan110,Male,ETSAKO WEST,EDO NORTH,"400,000.00","400,000.00",08/07/2022,07/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
111,loan111,Male,ESAN NORTH-EAST,EDO CENTRAL,"400,000.00","400,000.00",06/07/2022,05/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
112,loan112,Male,ESAN WEST,EDO CENTRAL,"150,000.00","105,862.34",29/06/2022,28/06/2023,"44,137.66","4,512.34","25,000.00","1,506.17","48,650.00","114,850.00","163,500.00",29.76
113,loan113,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
114,loan114,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",29/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
115,loan115,Male,ESAN WEST,EDO CENTRAL,"200,000.00","193,387.67",05/04/2022,04/04/2023,"6,612.33","4,487.67","49,479.46","3,008.22","11,100.00","206,900.00","218,000.00",5.09
116,loan116,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",05/07/2022,04/07/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
117,loan117,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",09/09/2022,08/09/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
118,loan118,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",04/07/2022,29/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
119,loan119,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",09/09/2022,08/09/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
120,loan120,Female,IGUEBEN,EDO CENTRAL,"200,000.00","179,036.99",29/06/2022,27/06/2023,"20,963.01","4,536.99","44,479.46","3,057.54","25,500.00","192,500.00","218,000.00",11.70
121,loan121,Female,IGUEBEN,EDO CENTRAL,"100,000.00","75,000.01",09/09/2022,08/09/2023,"24,999.99","2,500.01",0.00,0.00,"27,500.00","81,500.00","109,000.00",25.23
122,loan122,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",13/12/2022,12/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
123,loan123,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
124,loan124,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
125,loan125,Male,ETSAKO WEST,EDO NORTH,"100,000.00","100,000.00",13/07/2022,12/07/2023,0.00,500.00,0.00,0.00,500.00,"108,500.00","109,000.00",0.46
126,loan126,Female,OREDO,EDO SOUTH,"300,000.00","300,000.00",11/04/2022,10/04/2023,0.00,500.00,0.00,0.00,500.00,"326,500.00","327,000.00",0.15
127,loan127,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",18/08/2022,17/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
128,loan128,Female,OWAN EAST,EDO NORTH,"100,000.00","99,739.73",23/06/2022,22/06/2023,260.27,739.73,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
129,loan129,Female,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,03/04/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
130,loan130,Male,ETSAKO WEST,EDO NORTH,"300,000.00","300,000.00",13/07/2022,12/07/2023,0.00,500.00,0.00,0.00,500.00,"326,500.00","327,000.00",0.15
131,loan131,Male,ETSAKO WEST,EDO NORTH,"200,000.00",0.00,13/07/2022,12/07/2023,"200,000.00","18,000.01","22,936.11","1,380.82","218,000.01",-0.01,"218,000.00",100.00
132,loan132,Female,EGOR,EDO SOUTH,"400,000.00","335,975.33",14/09/2022,11/09/2023,"64,024.67","8,975.33","66,666.66","5,808.66","73,000.00","363,000.00","436,000.00",16.74
133,loan133,Male,ETSAKO WEST,EDO NORTH,"150,000.00","149,396.58",05/07/2022,04/07/2023,603.42,"1,146.58",0.00,0.00,"1,750.00","161,750.00","163,500.00",1.07
134,loan134,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",18/08/2022,17/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
135,loan135,Male,AKOKO-EDO,EDO NORTH,"500,000.00","500,000.00",27/06/2022,26/06/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
136,loan136,Female,ETSAKO EAST,EDO NORTH,"150,000.00","139,908.92",17/06/2022,15/06/2023,"10,091.08","5,658.92","61,859.59","4,549.33","15,750.00","147,750.00","163,500.00",9.63
137,loan137,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",13/12/2022,11/12/2023,0.00,800.00,0.00,0.00,800.00,"544,200.00","545,000.00",0.15
138,loan138,Male,ESAN CENTRAL,EDO CENTRAL,"300,000.00","300,000.00",07/04/2022,06/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
139,loan139,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","71,391.77",22/08/2022,21/08/2023,"28,608.23","5,991.77","51,135.13","3,723.28","34,600.00","74,400.00","109,000.00",31.74
140,loan140,Male,ORHIONMWON,EDO SOUTH,"400,000.00","400,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
141,loan141,Male,ESAN CENTRAL,EDO CENTRAL,"200,000.00","19,471.24",07/04/2022,06/04/2023,"180,528.76","16,471.24",0.00,0.00,"197,000.00","21,000.00","218,000.00",90.37
142,loan142,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",29/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
143,loan143,Female,ORHIONMWON,EDO SOUTH,"400,000.00","400,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
144,loan144,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",19/12/2022,18/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
